RA;QUANTIDADE
PLANO PILOTO;969
CEILÂNDIA;589
SAMAMBAIA;543
TAGUATINGA;412
RECANTO DAS EMAS;352
RIACHO FUNDO II;248
GUARÁ;155
GAMA;127
SÃO SEBASTIÃO;127
SANTA MARIA;126
RIACHO FUNDO;88
ÁGUAS CLARAS;75
PLANALTINA;60
NÚCLEO BANDEIRANTE;42
CANDANGOLÂNDIA;37
SOBRADINHO;35
CRUZEIRO;24
JARDIM BOTÂNICO;23
LAGO SUL;21
BRAZLÂNDIA;17
PARANOÁ;14
VICENTE PIRES;10
SOBRADINHO II;8
SCIA/ESTRUTURAL;7
LAGO NORTE;5
PARK WAY;5
ITAPOÃ;4
SUDOESTE/OCTOGONAL;4
VARJÃO;3
SOL NASCENTE/PÔR DO SOL;2
ARNIQUEIRA;1
ÁGUA QUENTE;1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;67
OUTROS ESTADOS;11
OUTROS;3
