RA;QUANTIDADE
PLANO PILOTO;688
CEILÂNDIA;517
SAMAMBAIA;472
TAGUATINGA;355
RECANTO DAS EMAS;316
RIACHO FUNDO II;207
GUARÁ;121
SANTA MARIA;108
GAMA;105
SÃO SEBASTIÃO;80
RIACHO FUNDO;73
ÁGUAS CLARAS;57
PLANALTINA;52
CANDANGOLÂNDIA;34
NÚCLEO BANDEIRANTE;34
SOBRADINHO;23
CRUZEIRO;17
JARDIM BOTÂNICO;16
BRAZLÂNDIA;14
LAGO SUL;12
PARANOÁ;9
VICENTE PIRES;8
SCIA/ESTRUTURAL;7
PARK WAY;5
SOBRADINHO II;5
ITAPOÃ;4
SUDOESTE/OCTOGONAL;4
VARJÃO;3
SOL NASCENTE/PÔR DO SOL;2
ARNIQUEIRA;1
LAGO NORTE;1
ÁGUA QUENTE;1
NÃO INFORMADO / INVÁLIDO;48
OUTROS ESTADOS;10
OUTROS;3
