RA;QUANTIDADE
PLANO PILOTO;3729
CEILÂNDIA;1599
NÃO INFORMADO / INVÁLIDO;1177
SAMAMBAIA;1084
TAGUATINGA;948
GAMA;648
RECANTO DAS EMAS;603
GUARÁ;505
SANTA MARIA;486
RIACHO FUNDO II;431
SÃO SEBASTIÃO;376
SOBRADINHO;293
PLANALTINA;288
ÁGUAS CLARAS;225
RIACHO FUNDO;192
BRAZLÂNDIA;119
PARANOÁ;114
CANDANGOLÂNDIA;93
NÚCLEO BANDEIRANTE;92
CRUZEIRO;73
JARDIM BOTÂNICO;60
LAGO SUL;44
VICENTE PIRES;43
SOBRADINHO II;42
LAGO NORTE;25
SCIA/ESTRUTURAL;25
SUDOESTE/OCTOGONAL;23
OUTROS;21
ITAPOÃ;18
PARK WAY;16
VARJÃO;15
ÁGUAS LINDAS DE GOIÁS (ENTORNO);9
VALPARAÍSO DE GOIÁS (ENTORNO);8
OUTROS ESTADOS;5
NOVO GAMA (ENTORNO);3
FERCAL;3
SOL NASCENTE/PÔR DO SOL;2
FORMOSA (ENTORNO);2
CIDADE OCIDENTAL (ENTORNO);2
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);1
ARNIQUEIRA;1
LUZIÂNIA (ENTORNO);1
ÁGUA QUENTE;1
ARAPOANGA;1
