RA;QUANTIDADE
PLANO PILOTO;1071
SÃO SEBASTIÃO;138
CEILÂNDIA;91
GUARÁ;90
TAGUATINGA;83
ÁGUAS CLARAS;82
NÃO INFORMADO / INVÁLIDO;80
JARDIM BOTÂNICO;58
GAMA;58
SAMAMBAIA;52
SOBRADINHO;45
PLANALTINA;38
LAGO SUL;31
CRUZEIRO;30
SANTA MARIA;29
SUDOESTE/OCTOGONAL;20
RECANTO DAS EMAS;19
PARANOÁ;18
LAGO NORTE;15
RIACHO FUNDO II;14
CANDANGOLÂNDIA;12
VICENTE PIRES;11
RIACHO FUNDO;11
PARK WAY;9
BRAZLÂNDIA;8
OUTROS;4
ARNIQUEIRA;3
SCIA/ESTRUTURAL;2
SOBRADINHO II;2
NÚCLEO BANDEIRANTE;1
CIDADE OCIDENTAL (ENTORNO);1
VALPARAÍSO DE GOIÁS (ENTORNO);1
ARAPOANGA;1
