RA;QUANTIDADE
CEILÂNDIA;16018
PLANO PILOTO;15054
SAMAMBAIA;9412
TAGUATINGA;7814
GAMA;6281
SANTA MARIA;5575
RECANTO DAS EMAS;5389
SOBRADINHO;4634
PLANALTINA;4498
GUARÁ;3184
PARANOÁ;2442
SÃO SEBASTIÃO;2317
RIACHO FUNDO II;2094
BRAZLÂNDIA;1792
RIACHO FUNDO;1609
ÁGUAS CLARAS;1068
CANDANGOLÂNDIA;853
NÚCLEO BANDEIRANTE;765
CRUZEIRO;638
ITAPOÃ;541
SOBRADINHO II;503
SCIA/ESTRUTURAL;411
VICENTE PIRES;291
VARJÃO;226
LAGO NORTE;205
LAGO SUL;179
SUDOESTE/OCTOGONAL;130
PARK WAY;123
JARDIM BOTÂNICO;63
FERCAL;37
ARAPOANGA;36
SOL NASCENTE/PÔR DO SOL;30
ARNIQUEIRA;12
SIA;8
ÁGUA QUENTE;4
ÁGUAS LINDAS DE GOIÁS (ENTORNO);30
VALPARAÍSO DE GOIÁS (ENTORNO);24
LUZIÂNIA (ENTORNO);9
NOVO GAMA (ENTORNO);7
CIDADE OCIDENTAL (ENTORNO);6
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);5
FORMOSA (ENTORNO);2
