RA;QUANTIDADE
PLANO PILOTO;656
CEILÂNDIA;180
TAGUATINGA;178
GUARÁ;156
SOBRADINHO;153
GAMA;106
SAMAMBAIA;97
ÁGUAS CLARAS;74
PLANALTINA;64
SÃO SEBASTIÃO;50
CRUZEIRO;48
SANTA MARIA;45
RECANTO DAS EMAS;43
BRAZLÂNDIA;36
LAGO SUL;32
RIACHO FUNDO II;32
PARANOÁ;29
RIACHO FUNDO;27
SUDOESTE/OCTOGONAL;23
VICENTE PIRES;18
NÚCLEO BANDEIRANTE;17
LAGO NORTE;16
CANDANGOLÂNDIA;15
JARDIM BOTÂNICO;12
SOBRADINHO II;11
PARK WAY;8
ITAPOÃ;6
SCIA/ESTRUTURAL;3
ARNIQUEIRA;1
VARJÃO;1
LUZIÂNIA (ENTORNO);1
VALPARAÍSO DE GOIÁS (ENTORNO);1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;22
