RA;QUANTIDADE
CEILÂNDIA;13782
PLANO PILOTO;12414
SAMAMBAIA;8190
TAGUATINGA;6364
GAMA;5237
SANTA MARIA;4881
RECANTO DAS EMAS;4705
PLANALTINA;3968
SOBRADINHO;3800
GUARÁ;2413
PARANOÁ;2141
SÃO SEBASTIÃO;1973
RIACHO FUNDO II;1840
BRAZLÂNDIA;1546
RIACHO FUNDO;1330
ÁGUAS CLARAS;811
CANDANGOLÂNDIA;725
NÚCLEO BANDEIRANTE;621
ITAPOÃ;480
CRUZEIRO;447
SOBRADINHO II;428
SCIA/ESTRUTURAL;373
VICENTE PIRES;225
VARJÃO;211
LAGO NORTE;158
LAGO SUL;116
PARK WAY;102
SUDOESTE/OCTOGONAL;81
JARDIM BOTÂNICO;40
ARAPOANGA;34
FERCAL;34
SOL NASCENTE/PÔR DO SOL;26
ARNIQUEIRA;10
SIA;5
ÁGUA QUENTE;4
ÁGUAS LINDAS DE GOIÁS (ENTORNO);29
VALPARAÍSO DE GOIÁS (ENTORNO);17
CIDADE OCIDENTAL (ENTORNO);6
LUZIÂNIA (ENTORNO);6
NOVO GAMA (ENTORNO);6
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);5
FORMOSA (ENTORNO);1
FORMOSO (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;705
OUTROS;118
OUTROS ESTADOS;3
