RA;QUANTIDADE
CEILÂNDIA;17165
PLANO PILOTO;16974
SAMAMBAIA;9964
TAGUATINGA;8878
GAMA;6935
SANTA MARIA;5878
RECANTO DAS EMAS;5680
SOBRADINHO;5273
PLANALTINA;4833
GUARÁ;3843
PARANOÁ;2580
SÃO SEBASTIÃO;2494
RIACHO FUNDO II;2223
BRAZLÂNDIA;1941
RIACHO FUNDO;1776
ÁGUAS CLARAS;1373
CANDANGOLÂNDIA;932
NÚCLEO BANDEIRANTE;866
CRUZEIRO;833
ITAPOÃ;556
SOBRADINHO II;554
SCIA/ESTRUTURAL;422
VICENTE PIRES;357
LAGO SUL;260
LAGO NORTE;254
VARJÃO;236
SUDOESTE/OCTOGONAL;199
PARK WAY;152
JARDIM BOTÂNICO;82
FERCAL;43
ARAPOANGA;39
SOL NASCENTE/PÔR DO SOL;29
ARNIQUEIRA;13
SIA;8
ÁGUA QUENTE;4
ÁGUAS LINDAS DE GOIÁS (ENTORNO);32
VALPARAÍSO DE GOIÁS (ENTORNO);26
LUZIÂNIA (ENTORNO);10
NOVO GAMA (ENTORNO);7
CIDADE OCIDENTAL (ENTORNO);6
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);5
FORMOSA (ENTORNO);2
