RA;QUANTIDADE
PLANO PILOTO;18782
CEILÂNDIA;17617
SAMAMBAIA;10496
TAGUATINGA;8762
GAMA;6929
SANTA MARIA;6061
RECANTO DAS EMAS;5992
SOBRADINHO;4927
PLANALTINA;4786
GUARÁ;3690
SÃO SEBASTIÃO;2693
PARANOÁ;2556
RIACHO FUNDO II;2527
NÃO INFORMADO / INVÁLIDO;1975
BRAZLÂNDIA;1911
RIACHO FUNDO;1799
ÁGUAS CLARAS;1293
CANDANGOLÂNDIA;946
NÚCLEO BANDEIRANTE;857
CRUZEIRO;711
ITAPOÃ;559
SOBRADINHO II;545
SCIA/ESTRUTURAL;436
VICENTE PIRES;334
VARJÃO;241
LAGO NORTE;230
LAGO SUL;223
SUDOESTE/OCTOGONAL;153
OUTROS;146
PARK WAY;139
JARDIM BOTÂNICO;123
FERCAL;40
ÁGUAS LINDAS DE GOIÁS (ENTORNO);39
ARAPOANGA;37
SOL NASCENTE/PÔR DO SOL;32
VALPARAÍSO DE GOIÁS (ENTORNO);32
ARNIQUEIRA;13
OUTROS ESTADOS;12
NOVO GAMA (ENTORNO);10
LUZIÂNIA (ENTORNO);10
SIA;8
CIDADE OCIDENTAL (ENTORNO);8
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);6
ÁGUA QUENTE;5
FORMOSA (ENTORNO);3
FORMOSO (ENTORNO);1
