RA;QUANTIDADE
PLANO PILOTO;1727
CEILÂNDIA;271
TAGUATINGA;261
GUARÁ;246
SOBRADINHO;198
SÃO SEBASTIÃO;188
GAMA;164
ÁGUAS CLARAS;156
SAMAMBAIA;149
PLANALTINA;102
NÃO INFORMADO / INVÁLIDO;102
CRUZEIRO;78
SANTA MARIA;74
JARDIM BOTÂNICO;70
LAGO SUL;63
RECANTO DAS EMAS;62
PARANOÁ;47
RIACHO FUNDO II;46
BRAZLÂNDIA;44
SUDOESTE/OCTOGONAL;43
RIACHO FUNDO;38
LAGO NORTE;31
VICENTE PIRES;29
CANDANGOLÂNDIA;27
NÚCLEO BANDEIRANTE;18
PARK WAY;17
SOBRADINHO II;13
ITAPOÃ;6
SCIA/ESTRUTURAL;5
OUTROS;4
ARNIQUEIRA;4
VALPARAÍSO DE GOIÁS (ENTORNO);2
VARJÃO;1
ARAPOANGA;1
LUZIÂNIA (ENTORNO);1
CIDADE OCIDENTAL (ENTORNO);1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
