RA;QUANTIDADE
PLANO PILOTO;3121
CEILÂNDIA;1384
TAGUATINGA;1262
GUARÁ;798
GAMA;765
SOBRADINHO;736
SAMAMBAIA;709
PLANALTINA;374
ÁGUAS CLARAS;373
RECANTO DAS EMAS;365
SANTA MARIA;354
SÃO SEBASTIÃO;351
CRUZEIRO;270
RIACHO FUNDO;191
RIACHO FUNDO II;180
BRAZLÂNDIA;179
PARANOÁ;161
NÃO INFORMADO / INVÁLIDO;144
NÚCLEO BANDEIRANTE;130
LAGO SUL;108
CANDANGOLÂNDIA;98
JARDIM BOTÂNICO;93
VICENTE PIRES;74
LAGO NORTE;68
SUDOESTE/OCTOGONAL;67
SOBRADINHO II;54
PARK WAY;35
ITAPOÃ;18
SCIA/ESTRUTURAL;14
VARJÃO;13
FERCAL;6
VALPARAÍSO DE GOIÁS (ENTORNO);4
ARAPOANGA;4
OUTROS;4
ARNIQUEIRA;2
LUZIÂNIA (ENTORNO);2
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
