RA;QUANTIDADE
CEILÂNDIA;16607
PLANO PILOTO;16021
SAMAMBAIA;9955
TAGUATINGA;8226
GAMA;6408
RECANTO DAS EMAS;5741
SANTA MARIA;5701
SOBRADINHO;4669
PLANALTINA;4558
GUARÁ;3339
PARANOÁ;2456
SÃO SEBASTIÃO;2444
RIACHO FUNDO II;2342
BRAZLÂNDIA;1809
RIACHO FUNDO;1697
ÁGUAS CLARAS;1143
CANDANGOLÂNDIA;890
NÚCLEO BANDEIRANTE;807
CRUZEIRO;662
ITAPOÃ;545
SOBRADINHO II;511
SCIA/ESTRUTURAL;418
VICENTE PIRES;301
VARJÃO;229
LAGO NORTE;210
LAGO SUL;200
SUDOESTE/OCTOGONAL;134
PARK WAY;128
JARDIM BOTÂNICO;86
FERCAL;37
ARAPOANGA;36
SOL NASCENTE/PÔR DO SOL;32
ARNIQUEIRA;13
SIA;8
ÁGUA QUENTE;5
ÁGUAS LINDAS DE GOIÁS (ENTORNO);31
VALPARAÍSO DE GOIÁS (ENTORNO);24
LUZIÂNIA (ENTORNO);9
NOVO GAMA (ENTORNO);7
CIDADE OCIDENTAL (ENTORNO);6
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);5
FORMOSA (ENTORNO);1
FORMOSO (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;865
OUTROS;130
OUTROS ESTADOS;18
