RA;QUANTIDADE
PLANO PILOTO;1087
CEILÂNDIA;206
TAGUATINGA;201
GUARÁ;183
SOBRADINHO;172
GAMA;121
SÃO SEBASTIÃO;112
SAMAMBAIA;111
ÁGUAS CLARAS;98
PLANALTINA;76
CRUZEIRO;58
SANTA MARIA;52
RECANTO DAS EMAS;49
LAGO SUL;43
BRAZLÂNDIA;37
JARDIM BOTÂNICO;35
PARANOÁ;34
RIACHO FUNDO II;33
RIACHO FUNDO;31
SUDOESTE/OCTOGONAL;30
VICENTE PIRES;23
LAGO NORTE;22
CANDANGOLÂNDIA;20
NÚCLEO BANDEIRANTE;18
SOBRADINHO II;11
PARK WAY;10
ITAPOÃ;6
ARNIQUEIRA;3
SCIA/ESTRUTURAL;3
ARAPOANGA;1
VARJÃO;1
LUZIÂNIA (ENTORNO);1
VALPARAÍSO DE GOIÁS (ENTORNO);1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;62
OUTROS;1
