RA;QUANTIDADE
PLANO PILOTO;2332
CEILÂNDIA;1219
TAGUATINGA;1142
GUARÁ;691
GAMA;685
SOBRADINHO;672
SAMAMBAIA;605
PLANALTINA;343
RECANTO DAS EMAS;323
SANTA MARIA;321
ÁGUAS CLARAS;312
SÃO SEBASTIÃO;249
CRUZEIRO;216
RIACHO FUNDO;178
BRAZLÂNDIA;161
RIACHO FUNDO II;153
PARANOÁ;139
NÚCLEO BANDEIRANTE;112
CANDANGOLÂNDIA;92
LAGO SUL;89
VICENTE PIRES;72
SUDOESTE/OCTOGONAL;57
LAGO NORTE;55
SOBRADINHO II;51
JARDIM BOTÂNICO;46
PARK WAY;32
ITAPOÃ;14
SCIA/ESTRUTURAL;13
VARJÃO;13
FERCAL;6
ARAPOANGA;3
ARNIQUEIRA;2
LUZIÂNIA (ENTORNO);2
VALPARAÍSO DE GOIÁS (ENTORNO);2
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;84
OUTROS;3
